               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.031775,            0.024269,           0.0043037,             0.87792,             0.67463,              0.7566,             0.48012,            0.032388,            0.018328,           0.0080933,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031118,             0.02435,           0.0043385,             0.78817,             0.78204,             0.81618,             0.51387,             0.03233,            0.017843,           0.0069448,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030858,            0.026388,           0.0036369,             0.82414,             0.76375,             0.81177,             0.51344,            0.032492,            0.017153,           0.0064619,            0.008911,            0.008911,            0.008911
                  57,            0.030494,            0.023811,           0.0040068,             0.89261,             0.71001,             0.81039,             0.51111,            0.032566,            0.017177,           0.0077253,           0.0088912,           0.0088912,           0.0088912
                  58,            0.029781,            0.023675,           0.0035415,             0.82321,             0.74683,             0.79324,             0.50719,            0.032122,            0.016807,           0.0078329,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030518,            0.024432,           0.0038218,             0.83826,              0.7077,             0.79801,             0.48922,            0.032552,            0.016803,           0.0082987,           0.0088516,           0.0088516,           0.0088516
                  60,            0.030053,            0.025344,           0.0032374,             0.86422,              0.7334,             0.81816,             0.52705,            0.031145,            0.017095,            0.007687,           0.0088318,           0.0088318,           0.0088318
                  61,            0.029225,            0.023421,           0.0029423,             0.88071,             0.76972,              0.8425,             0.54684,             0.03184,            0.017321,           0.0097584,            0.008812,            0.008812,            0.008812
                  62,            0.029968,            0.023769,           0.0032369,             0.82558,             0.69285,             0.76977,             0.49286,            0.032173,            0.018177,           0.0083788,           0.0087922,           0.0087922,           0.0087922
                  63,            0.029325,            0.024661,           0.0042042,              0.9057,              0.7087,             0.81403,             0.51624,            0.031461,            0.017609,           0.0067506,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030092,            0.021949,           0.0032428,             0.77299,             0.77637,             0.80027,             0.51669,            0.031774,            0.018375,           0.0093744,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030232,            0.024095,           0.0035999,             0.79969,             0.67673,             0.75843,             0.47202,            0.032449,            0.018709,           0.0069872,           0.0087328,           0.0087328,           0.0087328
